titleId_x,primaryName,Steven Spielberg,Joel Coen,Ethan Coen,Martin Scorsese,Ridley Scott,Tim Burton,Quentin Tarantino,Ron Howard,Stanley Kubrick,Richard Donner,Christopher Nolan,Oliver Stone,Guy Ritchie,David Lynch,Peter Jackson,Francis Ford Coppola,Alfred Hitchcock,Wilfred Jackson,John Carpenter,Clint Eastwood,Danny Boyle,Hayao Miyazaki,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres_y,titleId_y,ordering,title_y,region,averageRating_y,numVotes_y,genres_uniques,genres2,decade,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt2910274,Gillian Robespierre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Obvious Child,Obvious Child,0,2014,\N,84,"Comedy,Drama,Romance",tt2910274,17.0,Obvious Child,FR,6.8,24641,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt2910904,Jocelyn Moorhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Dressmaker,The Dressmaker,0,2015,\N,119,"Comedy,Drama",tt2910904,33.0,Haute couture,FR,7.1,57446,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2911666,Chad Stahelski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,John Wick,John Wick,0,2014,\N,101,"Action,Crime,Thriller",tt2911666,41.0,John Wick,FR,7.4,579604,multi-genres,Action,2010,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt2920540,Iain Forsyth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,"20,000 Days on Earth","20,000 Days on Earth",0,2014,\N,97,"Documentary,Drama,Music",tt2920540,21.0,20 000 jours sur Terre,FR,7.5,11253,multi-genres,Documentary,2010,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
tt2929690,Shonali Bose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Margarita with a Straw,Margarita with a Straw,0,2014,\N,100,Drama,tt2929690,10.0,Margarita with a Straw,FR,7.2,3682,genres uniques,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2935476,Thomas Vinterberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Far from the Madding Crowd,Far from the Madding Crowd,0,2015,\N,119,"Drama,Romance",tt2935476,1.0,Loin de la foule déchaînée,FR,7.1,47559,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt2935564,Cédric Jimenez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Connection,La French,0,2014,\N,135,"Action,Crime,Thriller",tt2935564,23.0,La French,FR,7.1,10415,multi-genres,Action,2010,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt2936180,David Oelhoffen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Far from Men,Loin des hommes,0,2014,\N,101,"Drama,War,Western",tt2936180,13.0,Loin des hommes,FR,7.2,7726,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
tt2937696,Richard Linklater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Everybody Wants Some!!,Everybody Wants Some!!,0,2016,\N,117,Comedy,tt2937696,13.0,Everybody Wants Some,FR,6.9,53764,genres uniques,Comedy,2010,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2937898,J.C. Chandor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,A Most Violent Year,A Most Violent Year,0,2014,\N,125,"Action,Crime,Drama",tt2937898,2.0,A Most Violent Year,FR,7.0,69453,multi-genres,Action,2010,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2948356,Jared Bush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Zootopia,Zootopia,0,2016,\N,108,"Adventure,Animation,Comedy",tt2948356,59.0,Zootopie,FR,8.0,460125,multi-genres,Adventure,2010,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2948372,Kemp Powers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Soul,Soul,0,2020,\N,100,"Adventure,Animation,Comedy",tt2948372,48.0,Soul,FR,8.1,280884,multi-genres,Adventure,2020,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2965412,Sam Esmail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Comet,Comet,0,2014,\N,91,"Comedy,Drama,Romance",tt2965412,4.0,Comet,FR,6.8,18223,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt2972362,Joon-Hwan Jang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Hwayi: A Monster Boy,Hwayi: Gwimuleul samkin ai,0,2013,\N,126,"Action,Crime,Thriller",tt2972362,11.0,Monster Boy,FR,7.0,4600,multi-genres,Action,2010,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt2972482,Jong-bin Yoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Kundo: Age of the Rampant,Kundo: Min-ran-eui si-dae,0,2014,\N,137,"Action,Drama",tt2972482,10.0,Kundo,FR,6.8,3302,multi-genres,Action,2010,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2975590,Zack Snyder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,0,2016,\N,152,"Action,Adventure,Sci-Fi",tt2975590,31.0,Batman v Superman : L'Aube de la justice,FR,6.4,665732,multi-genres,Action,2010,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
tt2980516,James Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Theory of Everything,The Theory of Everything,0,2014,\N,123,"Biography,Drama,Romance",tt2980516,43.0,Une merveilleuse histoire du temps,FR,7.7,424878,multi-genres,Biography,2010,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt2980592,Adam Wingard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Guest,The Guest,0,2014,\N,100,"Action,Mystery,Thriller",tt2980592,10.0,The Guest,FR,6.7,96501,multi-genres,Action,2010,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
tt2980648,Lasse Hallström,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Hundred-Foot Journey,The Hundred-Foot Journey,0,2014,\N,122,"Comedy,Drama",tt2980648,29.0,Les recettes du bonheur,FR,7.3,79721,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2981768,Yasuhiro Yoshiura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Patema Inverted,Sakasama no Patema,0,2013,\N,98,"Adventure,Animation,Drama",tt2981768,8.0,Patéma et le monde inversé,FR,7.4,8536,multi-genres,Adventure,2010,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2987732,Bora Dagtekin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Suck Me Shakespeer,Fack ju Göhte,0,2013,\N,119,Comedy,tt2987732,2.0,Un prof pas comme les autres,FR,6.9,27888,genres uniques,Comedy,2010,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2989524,Susan Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Carrie Pilby,Carrie Pilby,0,2016,\N,98,"Comedy,Drama",tt2989524,12.0,Carrie Pilby,FR,6.7,10382,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2990140,Clay Kaytis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Christmas Chronicles,The Christmas Chronicles,0,2018,\N,104,"Adventure,Comedy,Family",tt2990140,25.0,Les chroniques de Noël,FR,7.0,64358,multi-genres,Adventure,2010,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2990738,Byung-woo Kim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,The Terror Live,Deu tae-ro ra-i-beu,0,2013,\N,97,"Action,Crime,Thriller",tt2990738,1.0,The Terror Live,FR,7.1,6442,multi-genres,Action,2010,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt2991092,Robin Campillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Eastern Boys,Eastern Boys,0,2013,\N,128,"Crime,Drama,Romance",tt2991092,1.0,Eastern Boys,FR,6.9,3433,multi-genres,Crime,2010,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt2991224,Zaza Urushadze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Tangerines,Mandariinid,0,2013,\N,87,"Drama,War",tt2991224,18.0,Mandarines,FR,8.2,44164,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
tt2994190,Peter Sattler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Camp X-Ray,Camp X-Ray,0,2014,\N,117,"Drama,War",tt2994190,10.0,The Guard,FR,6.9,40505,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
